fips,STNAME,CTYNAME,year,domestic_mig,population,rdomestic_mig
12001,Florida,Alachua County,2020,1315,279765,
12001,Florida,Alachua County,2021,1142,281710,4.0678569838
12001,Florida,Alachua County,2022,1268,285241,4.4730496992
12001,Florida,Alachua County,2023,408,288962,1.4211002032
12001,Florida,Alachua County,2024,-1141,291782,-3.929442233
12003,Florida,Baker County,2020,-141,28122,
12003,Florida,Baker County,2021,216,28378,7.6460176991
12003,Florida,Baker County,2022,-657,27781,-23.39785253
12003,Florida,Baker County,2023,673,28542,23.897874758
12003,Florida,Baker County,2024,709,29325,24.50446714
12005,Florida,Bay County,2020,-603,174543,
12005,Florida,Bay County,2021,5419,179548,30.607951063
12005,Florida,Bay County,2022,5261,185732,28.805300044
12005,Florida,Bay County,2023,4755,192422,25.14848448
12005,Florida,Bay County,2024,5074,199718,25.878512776
12007,Florida,Bradford County,2020,-60,28229,
12007,Florida,Bradford County,2021,-92,28057,-3.269018939
12007,Florida,Bradford County,2022,-727,27275,-26.27774163
12007,Florida,Bradford County,2023,561,27788,20.376659463
12007,Florida,Bradford County,2024,345,28075,12.351645991
12009,Florida,Brevard County,2020,3197,608792,
12009,Florida,Brevard County,2021,13225,618000,21.5602971
12009,Florida,Brevard County,2022,15337,631956,24.54006381
12009,Florida,Brevard County,2023,14518,646705,22.708129833
12009,Florida,Brevard County,2024,11084,658447,16.984994851
12011,Florida,Broward County,2020,-2344,1943497,
12011,Florida,Broward County,2021,-16151,1935655,-8.327077671
12011,Florida,Broward County,2022,-7039,1966237,-3.60799325
12011,Florida,Broward County,2023,-14875,2002786,-7.495547393
12011,Florida,Broward County,2024,-26339,2037472,-13.03827627
12013,Florida,Calhoun County,2020,98,13704,
12013,Florida,Calhoun County,2021,-103,13520,-7.566852777
12013,Florida,Calhoun County,2022,46,13462,3.4096805278
12013,Florida,Calhoun County,2023,106,13497,7.8637931674
12013,Florida,Calhoun County,2024,-149,13278,-11.12978525
12015,Florida,Charlotte County,2020,1999,188017,
12015,Florida,Charlotte County,2021,9723,194982,50.77297852
12015,Florida,Charlotte County,2022,9086,203113,45.647395722
12015,Florida,Charlotte County,2023,4949,207085,24.129810482
12015,Florida,Charlotte County,2024,5981,212122,28.534828855
12017,Florida,Citrus County,2020,1415,154569,
12017,Florida,Citrus County,2021,6336,158193,40.516431024
12017,Florida,Citrus County,2022,6392,162586,39.852982895
12017,Florida,Citrus County,2023,5962,166836,36.196732459
12017,Florida,Citrus County,2024,5163,170174,30.640040355
12019,Florida,Clay County,2020,682,218956,
12019,Florida,Clay County,2021,3947,222671,17.874812908
12019,Florida,Clay County,2022,4082,226797,18.163695747
12019,Florida,Clay County,2023,5405,232734,23.523984236
12019,Florida,Clay County,2024,3459,236760,14.735012588
12021,Florida,Collier County,2020,1950,377331,
12021,Florida,Collier County,2021,10857,387316,28.39741737
12021,Florida,Collier County,2022,8912,400510,22.624285058
12021,Florida,Collier County,2023,4059,410065,10.015112729
12021,Florida,Collier County,2024,-352,416233,-0.851992865
12023,Florida,Columbia County,2020,53,69760,
12023,Florida,Columbia County,2021,409,69945,5.8551948749
12023,Florida,Columbia County,2022,2092,71941,29.488462569
12023,Florida,Columbia County,2023,1318,73324,18.146146697
12023,Florida,Columbia County,2024,514,73977,6.9789071357
12027,Florida,DeSoto County,2020,160,34089,
12027,Florida,DeSoto County,2021,311,34341,9.0895805933
12027,Florida,DeSoto County,2022,935,35483,26.781622365
12027,Florida,DeSoto County,2023,592,36274,16.500132391
12027,Florida,DeSoto County,2024,298,36744,8.1623709222
12029,Florida,Dixie County,2020,-23,16685,
12029,Florida,Dixie County,2021,337,16929,20.051169156
12029,Florida,Dixie County,2022,49,16839,2.9021558872
12029,Florida,Dixie County,2023,489,17221,28.714034058
12029,Florida,Dixie County,2024,515,17614,29.567963255
12031,Florida,Duval County,2020,1372,997826,
12031,Florida,Duval County,2021,1418,1002908,1.4174797849
12031,Florida,Duval County,2022,8753,1021040,8.6494317048
12031,Florida,Duval County,2023,4500,1038833,4.3692014022
12031,Florida,Duval County,2024,1137,1055159,1.0859640342
12033,Florida,Escambia County,2020,736,322612,
12033,Florida,Escambia County,2021,1300,323468,4.0242694403
12033,Florida,Escambia County,2022,575,324227,1.7755270613
12033,Florida,Escambia County,2023,2612,328034,8.0090638563
12033,Florida,Escambia County,2024,1822,331275,5.5269987214
12035,Florida,Flagler County,2020,1052,116032,
12035,Florida,Flagler County,2021,6184,120996,52.179489343
12035,Florida,Flagler County,2022,6261,126974,50.498044118
