fips,RegionName,year,zhvi_annual,STNAME,CTYNAME,domestic_mig,population,rdomestic_mig
12001,Alachua County,2020,213860.29103251256,Florida,Alachua County,1315,279765,
12001,Alachua County,2021,244364.09988656058,Florida,Alachua County,1142,281710,4.0678569838
12001,Alachua County,2022,282232.2926551132,Florida,Alachua County,1268,285241,4.4730496992
12001,Alachua County,2023,295677.9482402525,Florida,Alachua County,408,288962,1.4211002032
12001,Alachua County,2024,304504.26521874283,Florida,Alachua County,-1141,291782,-3.929442233
12003,Baker County,2020,214588.8316808366,Florida,Baker County,-141,28122,
12003,Baker County,2021,250077.26717842932,Florida,Baker County,216,28378,7.6460176991
12003,Baker County,2022,293861.1371655793,Florida,Baker County,-657,27781,-23.39785253
12003,Baker County,2023,292472.26511416334,Florida,Baker County,673,28542,23.897874758
12003,Baker County,2024,298670.66818771156,Florida,Baker County,709,29325,24.50446714
12005,Bay County,2020,241755.73681988812,Florida,Bay County,-603,174543,
12005,Bay County,2021,280783.60441330395,Florida,Bay County,5419,179548,30.607951063
12005,Bay County,2022,344934.3981802015,Florida,Bay County,5261,185732,28.805300044
12005,Bay County,2023,360465.9618485255,Florida,Bay County,4755,192422,25.14848448
12005,Bay County,2024,356516.0804392253,Florida,Bay County,5074,199718,25.878512776
12007,Bradford County,2020,153594.9521196809,Florida,Bradford County,-60,28229,
12007,Bradford County,2021,180635.59401245796,Florida,Bradford County,-92,28057,-3.269018939
12007,Bradford County,2022,219482.984260825,Florida,Bradford County,-727,27275,-26.27774163
12007,Bradford County,2023,230884.9771896248,Florida,Bradford County,561,27788,20.376659463
12007,Bradford County,2024,238538.29266755315,Florida,Bradford County,345,28075,12.351645991
12009,Brevard County,2020,235133.57757293773,Florida,Brevard County,3197,608792,
12009,Brevard County,2021,277421.1778130057,Florida,Brevard County,13225,618000,21.5602971
12009,Brevard County,2022,342247.3959347613,Florida,Brevard County,15337,631956,24.54006381
12009,Brevard County,2023,352638.21877058357,Florida,Brevard County,14518,646705,22.708129833
12009,Brevard County,2024,354490.95637981425,Florida,Brevard County,11084,658447,16.984994851
12011,Broward County,2020,287895.9103291245,Florida,Broward County,-2344,1943497,
12011,Broward County,2021,326355.5421022393,Florida,Broward County,-16151,1935655,-8.327077671
12011,Broward County,2022,393683.02095532435,Florida,Broward County,-7039,1966237,-3.60799325
12011,Broward County,2023,424871.21661515714,Florida,Broward County,-14875,2002786,-7.495547393
12011,Broward County,2024,444341.21194693894,Florida,Broward County,-26339,2037472,-13.03827627
12013,Calhoun County,2020,121588.57624709436,Florida,Calhoun County,98,13704,
12013,Calhoun County,2021,149731.4975377157,Florida,Calhoun County,-103,13520,-7.566852777
