fips,RegionName,year,zhvi_annual,STNAME,CTYNAME,domestic_mig,population,rdomestic_mig,yoy_growth,boom_growth_2020_2022,cooling_delta_2024_vs_2022,yoy_volatility,cluster,cluster_name
12001,Alachua County,2020,213860.29103251256,Florida,Alachua County,1315,279765,,,0.31970405208233,-0.1251151518849182,0.0641515551143868,0,Stable markets
12001,Alachua County,2021,244364.09988656055,Florida,Alachua County,1142,281710,4.0678569838,0.142634281038225,0.31970405208233,-0.1251151518849182,0.0641515551143868,0,Stable markets
12001,Alachua County,2022,282232.2926551132,Florida,Alachua County,1268,285241,4.4730496992,0.154966268720045,0.31970405208233,-0.1251151518849182,0.0641515551143868,0,Stable markets
12001,Alachua County,2023,295677.9482402525,Florida,Alachua County,408,288962,1.4211002032,0.0476403867844061,0.31970405208233,-0.1251151518849182,0.0641515551143868,0,Stable markets
12001,Alachua County,2024,304504.26521874283,Florida,Alachua County,-1141,291782,-3.929442233,0.0298511168351267,0.31970405208233,-0.1251151518849182,0.0641515551143868,0,Stable markets
12003,Baker County,2020,214588.8316808366,Florida,Baker County,-141,28122,,,0.3694148705867714,-0.1538882366212048,0.0942087943364279,0,Stable markets
12003,Baker County,2021,250077.26717842932,Florida,Baker County,216,28378,7.6460176991,0.1653787628163965,0.3694148705867714,-0.1538882366212048,0.0942087943364279,0,Stable markets
12003,Baker County,2022,293861.1371655793,Florida,Baker County,-657,27781,-23.39785253,0.1750813677754656,0.3694148705867714,-0.1538882366212048,0.0942087943364279,0,Stable markets
12003,Baker County,2023,292472.26511416334,Florida,Baker County,673,28542,23.897874758,-0.0047262869286229,0.3694148705867714,-0.1538882366212048,0.0942087943364279,0,Stable markets
12003,Baker County,2024,298670.66818771156,Florida,Baker County,709,29325,24.50446714,0.0211931311542608,0.3694148705867714,-0.1538882366212048,0.0942087943364279,0,Stable markets
12005,Bay County,2020,241755.73681988812,Florida,Bay County,-603,174543,,,0.4267888850024812,-0.2394282927105321,0.10873337056916,2,Balanced growth markets
12005,Bay County,2021,280783.60441330395,Florida,Bay County,5419,179548,30.607951063,0.1614351250017791,0.4267888850024812,-0.2394282927105321,0.10873337056916,2,Balanced growth markets
12005,Bay County,2022,344934.3981802015,Florida,Bay County,5261,185732,28.805300044,0.2284705828922608,0.4267888850024812,-0.2394282927105321,0.10873337056916,2,Balanced growth markets
12005,Bay County,2023,360465.9618485255,Florida,Bay County,4755,192422,25.14848448,0.0450275871303795,0.4267888850024812,-0.2394282927105321,0.10873337056916,2,Balanced growth markets
12005,Bay County,2024,356516.0804392253,Florida,Bay County,5074,199718,25.878512776,-0.0109577098182712,0.4267888850024812,-0.2394282927105321,0.10873337056916,2,Balanced growth markets
12007,Bradford County,2020,153594.9521196809,Florida,Bradford County,-60,28229,,,0.4289726402584133,-0.1819117018472527,0.090090135867604,0,Stable markets
12007,Bradford County,2021,180635.59401245796,Florida,Bradford County,-92,28057,-3.269018939,0.1760516313824365,0.4289726402584133,-0.1819117018472527,0.090090135867604,0,Stable markets
12007,Bradford County,2022,219482.984260825,Florida,Bradford County,-727,27275,-26.27774163,0.215059443077912,0.4289726402584133,-0.1819117018472527,0.090090135867604,0,Stable markets
12007,Bradford County,2023,230884.9771896248,Florida,Bradford County,561,27788,20.376659463,0.051949325216255,0.4289726402584133,-0.1819117018472527,0.090090135867604,0,Stable markets
12007,Bradford County,2024,238538.29266755315,Florida,Bradford County,345,28075,12.351645991,0.0331477412306593,0.4289726402584133,-0.1819117018472527,0.090090135867604,0,Stable markets
12009,Brevard County,2020,235133.5775729377,Florida,Brevard County,3197,608792,,,0.4555445439458652,-0.2284204339160491,0.1117541888722783,2,Balanced growth markets
12009,Brevard County,2021,277421.1778130057,Florida,Brevard County,13225,618000,21.5602971,0.1798450084269673,0.4555445439458652,-0.2284204339160491,0.1117541888722783,2,Balanced growth markets
12009,Brevard County,2022,342247.3959347613,Florida,Brevard County,15337,631956,24.54006381,0.2336743670140835,0.4555445439458652,-0.2284204339160491,0.1117541888722783,2,Balanced growth markets
12009,Brevard County,2023,352638.21877058357,Florida,Brevard County,14518,646705,22.708129833,0.0303605606916084,0.4555445439458652,-0.2284204339160491,0.1117541888722783,2,Balanced growth markets
12009,Brevard County,2024,354490.95637981425,Florida,Brevard County,11084,658447,16.984994851,0.0052539330980343,0.4555445439458652,-0.2284204339160491,0.1117541888722783,2,Balanced growth markets
12011,Broward County,2020,287895.9103291245,Florida,Broward County,-2344,1943497,,,0.3674491607236219,-0.1604753729577124,0.0700963786317317,0,Stable markets
12011,Broward County,2021,326355.5421022393,Florida,Broward County,-16151,1935655,-8.327077671,0.1335886700479611,0.3674491607236219,-0.1604753729577124,0.0700963786317317,0,Stable markets
12011,Broward County,2022,393683.02095532435,Florida,Broward County,-7039,1966237,-3.60799325,0.2063010127525057,0.3674491607236219,-0.1604753729577124,0.0700963786317317,0,Stable markets
12011,Broward County,2023,424871.21661515714,Florida,Broward County,-14875,2002786,-7.495547393,0.0792215919908114,0.3674491607236219,-0.1604753729577124,0.0700963786317317,0,Stable markets
12011,Broward County,2024,444341.21194693894,Florida,Broward County,-26339,2037472,-13.03827627,0.0458256397947933,0.3674491607236219,-0.1604753729577124,0.0700963786317317,0,Stable markets
12013,Calhoun County,2020,121588.57624709436,Florida,Calhoun County,98,13704,,,0.4037416403698217,-0.1105047299819175,0.0969579311367656,0,Stable markets
12013,Calhoun County,2021,149731.4975377157,Florida,Calhoun County,-103,13520,-7.566852777,0.2314602420660707,0.4037416403698217,-0.1105047299819175,0.0969579311367656,0,Stable markets
12013,Calhoun County,2022,170678.94747132738,Florida,Calhoun County,46,13462,3.4096805278,0.1399000896810989,0.4037416403698217,-0.1105047299819175,0.0969579311367656,0,Stable markets
12013,Calhoun County,2023,176154.2015960679,Florida,Calhoun County,106,13497,7.8637931674,0.0320792587829867,0.4037416403698217,-0.1105047299819175,0.0969579311367656,0,Stable markets
12013,Calhoun County,2024,181332.3177145064,Florida,Calhoun County,-149,13278,-11.12978525,0.0293953596991813,0.4037416403698217,-0.1105047299819175,0.0969579311367656,0,Stable markets
12015,Charlotte County,2020,229784.49316672012,Florida,Charlotte County,1999,188017,,,0.589723123533509,-0.3572256742451476,0.1673124177207063,1,Migration boom markets
12015,Charlotte County,2021,278155.5814086481,Florida,Charlotte County,9723,194982,50.77297852,0.2105063208370303,0.589723123533509,-0.3572256742451476,0.1673124177207063,1,Migration boom markets
12015,Charlotte County,2022,365293.72221656254,Florida,Charlotte County,9086,203113,45.647395722,0.313271228880706,0.589723123533509,-0.3572256742451476,0.1673124177207063,1,Migration boom markets
